aligner	DEsoftware	direction	ID
bowtie2	deseq2	down	FBtr0070393
bowtie2	deseq2	down	FBtr0070985
bowtie2	deseq2	down	FBtr0071240
bowtie2	deseq2	down	FBtr0071835
bowtie2	deseq2	down	FBtr0071934
bowtie2	deseq2	down	FBtr0072087
bowtie2	deseq2	down	FBtr0072393
bowtie2	deseq2	down	FBtr0072410
bowtie2	deseq2	down	FBtr0072561
bowtie2	deseq2	down	FBtr0072864
bowtie2	deseq2	down	FBtr0072956
bowtie2	deseq2	down	FBtr0072967
bowtie2	deseq2	down	FBtr0073269
bowtie2	deseq2	down	FBtr0073339
bowtie2	deseq2	down	FBtr0073421
bowtie2	deseq2	down	FBtr0073423
bowtie2	deseq2	down	FBtr0073527
bowtie2	deseq2	down	FBtr0073531
bowtie2	deseq2	down	FBtr0074337
bowtie2	deseq2	down	FBtr0074842
bowtie2	deseq2	down	FBtr0074916
bowtie2	deseq2	down	FBtr0075039
bowtie2	deseq2	down	FBtr0075077
bowtie2	deseq2	down	FBtr0075204
bowtie2	deseq2	down	FBtr0075354
bowtie2	deseq2	down	FBtr0075560
bowtie2	deseq2	down	FBtr0075753
bowtie2	deseq2	down	FBtr0075811
bowtie2	deseq2	down	FBtr0076218
bowtie2	deseq2	down	FBtr0076459
bowtie2	deseq2	down	FBtr0076541
bowtie2	deseq2	down	FBtr0076771
bowtie2	deseq2	down	FBtr0077234
bowtie2	deseq2	down	FBtr0077259
bowtie2	deseq2	down	FBtr0077409
bowtie2	deseq2	down	FBtr0077560
bowtie2	deseq2	down	FBtr0077645
bowtie2	deseq2	down	FBtr0077910
bowtie2	deseq2	down	FBtr0077972
bowtie2	deseq2	down	FBtr0078083
bowtie2	deseq2	down	FBtr0078144
bowtie2	deseq2	down	FBtr0078191
bowtie2	deseq2	down	FBtr0078204
bowtie2	deseq2	down	FBtr0078687
bowtie2	deseq2	down	FBtr0078811
bowtie2	deseq2	down	FBtr0078812
bowtie2	deseq2	down	FBtr0078937
bowtie2	deseq2	down	FBtr0079042
bowtie2	deseq2	down	FBtr0079077
bowtie2	deseq2	down	FBtr0079648
bowtie2	deseq2	down	FBtr0079667
bowtie2	deseq2	down	FBtr0079708
bowtie2	deseq2	down	FBtr0080261
bowtie2	deseq2	down	FBtr0080514
bowtie2	deseq2	down	FBtr0080565
bowtie2	deseq2	down	FBtr0080589
bowtie2	deseq2	down	FBtr0080838
bowtie2	deseq2	down	FBtr0080932
bowtie2	deseq2	down	FBtr0081004
bowtie2	deseq2	down	FBtr0081008
bowtie2	deseq2	down	FBtr0081211
bowtie2	deseq2	down	FBtr0081354
bowtie2	deseq2	down	FBtr0081484
bowtie2	deseq2	down	FBtr0081958
bowtie2	deseq2	down	FBtr0082117
bowtie2	deseq2	down	FBtr0082139
bowtie2	deseq2	down	FBtr0082158
bowtie2	deseq2	down	FBtr0082183
bowtie2	deseq2	down	FBtr0082494
bowtie2	deseq2	down	FBtr0082812
bowtie2	deseq2	down	FBtr0083058
bowtie2	deseq2	down	FBtr0083764
bowtie2	deseq2	down	FBtr0083967
bowtie2	deseq2	down	FBtr0084054
bowtie2	deseq2	down	FBtr0084447
bowtie2	deseq2	down	FBtr0084549
bowtie2	deseq2	down	FBtr0084659
bowtie2	deseq2	down	FBtr0084958
bowtie2	deseq2	down	FBtr0084963
bowtie2	deseq2	down	FBtr0085094
bowtie2	deseq2	down	FBtr0085146
bowtie2	deseq2	down	FBtr0085156
bowtie2	deseq2	down	FBtr0085209
bowtie2	deseq2	down	FBtr0085353
bowtie2	deseq2	down	FBtr0085377
bowtie2	deseq2	down	FBtr0085423
bowtie2	deseq2	down	FBtr0085708
bowtie2	deseq2	down	FBtr0085735
bowtie2	deseq2	down	FBtr0085755
bowtie2	deseq2	down	FBtr0085997
bowtie2	deseq2	down	FBtr0086272
bowtie2	deseq2	down	FBtr0086670
bowtie2	deseq2	down	FBtr0086983
bowtie2	deseq2	down	FBtr0087004
bowtie2	deseq2	down	FBtr0087115
bowtie2	deseq2	down	FBtr0087295
bowtie2	deseq2	down	FBtr0087307
bowtie2	deseq2	down	FBtr0087390
bowtie2	deseq2	down	FBtr0087528
bowtie2	deseq2	down	FBtr0087533
bowtie2	deseq2	down	FBtr0087621
bowtie2	deseq2	down	FBtr0087789
